,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1030,1030,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1031,1031,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1032,1032,2.0,0.7332,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(111, 1), (138, 1), (205, 1), (704, 1)]"
1033,1033,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1034,1034,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1035,1035,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1036,1036,1.0,0.4543,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(257, 1), (572, 1)]"
1037,1037,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1038,1038,1.0,0.6664,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(257, 1)]"
1039,1039,0.0,0.9467,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 1), (25, 1), (36, 1), (38, 1), (99, 1), (150, 1), (250, 1), (303, 1), (373, 1), (705, 1), (706, 1), (707, 1), (708, 1), (709, 1), (710, 1)]"
1040,1040,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1041,1041,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1042,1042,0.0,0.819,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead","[(8, 2), (74, 1), (111, 1), (115, 1), (155, 1)]"
1043,1043,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1044,1044,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1045,1045,2.0,0.535,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(10, 1), (29, 1), (42, 1), (368, 1)]"
1046,1046,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
1047,1047,1.0,0.6665,"unsprungsg, deitycomponent, pushindustrie, evilbicycle, evilbike, burgtec, completeyourkit, sensusgrip, yeticycle, deityblood","[(93, 1)]"
1048,1048,2.0,0.6609,"pic, yeticycle, push, elevensix, sb, bike, evil, new, go, good","[(3, 1), (38, 1), (105, 1), (305, 1), (486, 1), (509, 1), (541, 1)]"
1049,1049,0.0,0.3333,"deity, pic, evil, stem, burgtec, pedal, grip, bar, picture, copperhead",[]
