Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,Score
100% Corpus,7,0.91,0.01,0.614873077,,,,
100% Corpus,7,0.91,0.31,0.646437128,,,,
100% Corpus,7,0.91,0.61,0.647065616,,,,
100% Corpus,7,0.91,0.91,0.670709401,,,,
100% Corpus,7,0.91,symmetric,0.592782796,,,,
100% Corpus,7,symmetric,0.01,0.541024434,,,,
100% Corpus,7,symmetric,0.31,0.571509906,,,,
100% Corpus,7,symmetric,0.61,0.589836293,,,,
100% Corpus,7,symmetric,0.91,0.574407403,,,,
100% Corpus,7,symmetric,symmetric,0.547186926,,,,
100% Corpus,7,asymmetric,0.01,0.551286164,,,,
100% Corpus,7,asymmetric,0.31,0.594204057,,,,
100% Corpus,7,asymmetric,0.61,0.501709106,,,,
100% Corpus,7,asymmetric,0.91,0.553471557,,,,
100% Corpus,7,asymmetric,symmetric,0.621675726,,,,
100% Corpus,8,0.01,0.01,0.536963888,16.9381757,,,
100% Corpus,8,0.01,0.31,0.576531943,0.564605857,,,
100% Corpus,8,0.01,0.61,0.554519872,,,,
100% Corpus,8,0.01,0.91,0.580824181,,,,
100% Corpus,8,0.01,symmetric,0.541735373,,,,
100% Corpus,8,0.31,0.01,0.518355126,,,,
100% Corpus,8,0.31,0.31,0.549519557,,,,
100% Corpus,8,0.31,0.61,0.555981615,,,,
100% Corpus,8,0.31,0.91,0.559556666,,,,
100% Corpus,8,0.31,symmetric,0.537072428,,,,
100% Corpus,8,0.61,0.01,0.581035132,,,,
100% Corpus,8,0.61,0.31,0.598250475,,,,
100% Corpus,8,0.61,0.61,0.58809571,,,,
100% Corpus,8,0.61,0.91,0.619749219,,,,
100% Corpus,8,0.61,symmetric,0.589287964,,,,
100% Corpus,8,0.91,0.01,0.589905319,,,,
100% Corpus,8,0.91,0.31,0.6118022,,,,
100% Corpus,8,0.91,0.61,0.65583988,,,,
100% Corpus,8,0.91,0.91,0.656864181,,,,
100% Corpus,8,0.91,symmetric,0.599675533,,,,
100% Corpus,8,symmetric,0.01,0.518384808,,,,
100% Corpus,8,symmetric,0.31,0.530310596,,,,
100% Corpus,8,symmetric,0.61,0.568780953,,,,
100% Corpus,8,symmetric,0.91,0.574735118,,,,
100% Corpus,8,symmetric,symmetric,0.544903632,,,,
100% Corpus,8,asymmetric,0.01,0.563772534,,,,
100% Corpus,8,asymmetric,0.31,0.503784016,,,,
100% Corpus,8,asymmetric,0.61,0.51959008,,,,
100% Corpus,8,asymmetric,0.91,0.496842874,,,,
100% Corpus,8,asymmetric,symmetric,0.515504827,,,,
100% Corpus,9,0.01,0.01,0.563737181,17.00609544,,,
100% Corpus,9,0.01,0.31,0.576269574,0.566869848,,,
100% Corpus,9,0.01,0.61,0.555799162,,,,
100% Corpus,9,0.01,0.91,0.542666741,,,,
100% Corpus,9,0.01,symmetric,0.560390144,,,,
100% Corpus,9,0.31,0.01,0.528365898,,,,
100% Corpus,9,0.31,0.31,0.556545796,,,,
100% Corpus,9,0.31,0.61,0.528608498,,,,
100% Corpus,9,0.31,0.91,0.548022561,,,,
100% Corpus,9,0.31,symmetric,0.535517796,,,,
100% Corpus,9,0.61,0.01,0.572605404,,,,
100% Corpus,9,0.61,0.31,0.614520162,,,,
100% Corpus,9,0.61,0.61,0.613570385,,,,
100% Corpus,9,0.61,0.91,0.622165343,,,,
100% Corpus,9,0.61,symmetric,0.582547027,,,,
100% Corpus,9,0.91,0.01,0.602359129,,,,
100% Corpus,9,0.91,0.31,0.595652412,,,,
100% Corpus,9,0.91,0.61,0.62876103,,,,
100% Corpus,9,0.91,0.91,0.688414775,,,,
100% Corpus,9,0.91,symmetric,0.610507293,,,,
100% Corpus,9,symmetric,0.01,0.557006662,,,,
100% Corpus,9,symmetric,0.31,0.523140659,,,,
100% Corpus,9,symmetric,0.61,0.526902977,,,,
100% Corpus,9,symmetric,0.91,0.537145002,,,,
100% Corpus,9,symmetric,symmetric,0.57408478,,,,
100% Corpus,9,asymmetric,0.01,0.573718419,,,,
100% Corpus,9,asymmetric,0.31,0.572534271,,,,
100% Corpus,9,asymmetric,0.61,0.556811739,,,,
100% Corpus,9,asymmetric,0.91,0.451312552,,,,
100% Corpus,9,asymmetric,symmetric,0.506412069,,,,
100% Corpus,10,0.01,0.01,0.534164097,17.0952376,,,
100% Corpus,10,0.01,0.31,0.52135593,0.569841253,,,
100% Corpus,10,0.01,0.61,0.540628392,,,,
100% Corpus,10,0.01,0.91,0.557655381,,,,
100% Corpus,10,0.01,symmetric,0.564699245,,,,
100% Corpus,10,0.31,0.01,0.538212413,,,,
100% Corpus,10,0.31,0.31,0.531068812,,,,
100% Corpus,10,0.31,0.61,0.551018422,,,,
100% Corpus,10,0.31,0.91,0.53972527,,,,
100% Corpus,10,0.31,symmetric,0.546622001,,,,
100% Corpus,10,0.61,0.01,0.569872909,,,,
100% Corpus,10,0.61,0.31,0.618712357,,,,
100% Corpus,10,0.61,0.61,0.623651607,,,,
100% Corpus,10,0.61,0.91,0.677188164,,,,
100% Corpus,10,0.61,symmetric,0.593462078,,,,
100% Corpus,10,0.91,0.01,0.582717805,,,,
100% Corpus,10,0.91,0.31,0.658636979,,,,
100% Corpus,10,0.91,0.61,0.665643918,,,,
100% Corpus,10,0.91,0.91,0.702277741,,,,
100% Corpus,10,0.91,symmetric,0.59437229,,,,
100% Corpus,10,symmetric,0.01,0.526079739,,,,
100% Corpus,10,symmetric,0.31,0.566068699,,,,
100% Corpus,10,symmetric,0.61,0.547002082,,,,
100% Corpus,10,symmetric,0.91,0.528641039,,,,
100% Corpus,10,symmetric,symmetric,0.529765024,,,,
100% Corpus,10,asymmetric,0.01,0.574167247,,,,
100% Corpus,10,asymmetric,0.31,0.552222471,,,,
100% Corpus,10,asymmetric,0.61,0.515581588,,,,
100% Corpus,10,asymmetric,0.91,0.490647014,,,,
100% Corpus,10,asymmetric,symmetric,0.553376881,,,,
