Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.01,0.01,0.5891186280877688
100% Corpus,3,0.01,0.31,0.6083296223702649
100% Corpus,3,0.01,0.61,0.6233935034380214
100% Corpus,3,0.01,0.9099999999999999,0.6030513178118865
100% Corpus,3,0.01,symmetric,0.5954338474294042
100% Corpus,3,0.31,0.01,0.5972267335231494
100% Corpus,3,0.31,0.31,0.6071801310307298
100% Corpus,3,0.31,0.61,0.558675418148333
100% Corpus,3,0.31,0.9099999999999999,0.6093495263095062
100% Corpus,3,0.31,symmetric,0.581911996659859
100% Corpus,3,0.61,0.01,0.5928103628762816
100% Corpus,3,0.61,0.31,0.5931195430301818
100% Corpus,3,0.61,0.61,0.5964206891691611
100% Corpus,3,0.61,0.9099999999999999,0.6107411855411647
100% Corpus,3,0.61,symmetric,0.5923742516070001
100% Corpus,3,0.9099999999999999,0.01,0.601893888499089
100% Corpus,3,0.9099999999999999,0.31,0.5879312059465538
100% Corpus,3,0.9099999999999999,0.61,0.5914026870975441
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5907609856295709
100% Corpus,3,0.9099999999999999,symmetric,0.6119744499254816
100% Corpus,3,symmetric,0.01,0.5972053361497212
100% Corpus,3,symmetric,0.31,0.5802596272124111
100% Corpus,3,symmetric,0.61,0.6137989438973321
100% Corpus,3,symmetric,0.9099999999999999,0.6081209408198726
100% Corpus,3,symmetric,symmetric,0.6007976723459086
100% Corpus,3,asymmetric,0.01,0.6384399796507773
100% Corpus,3,asymmetric,0.31,0.6579597017176196
100% Corpus,3,asymmetric,0.61,0.5992662009932513
100% Corpus,3,asymmetric,0.9099999999999999,0.6232401654155671
100% Corpus,3,asymmetric,symmetric,0.6741278044142325
100% Corpus,4,0.01,0.01,0.599590566344904
100% Corpus,4,0.01,0.31,0.5558213693899796
100% Corpus,4,0.01,0.61,0.5872646895049569
100% Corpus,4,0.01,0.9099999999999999,0.5967486791872708
100% Corpus,4,0.01,symmetric,0.5876795734931797
100% Corpus,4,0.31,0.01,0.5615460589897874
100% Corpus,4,0.31,0.31,0.5957996786436757
100% Corpus,4,0.31,0.61,0.5459692170521281
100% Corpus,4,0.31,0.9099999999999999,0.5841682431513457
100% Corpus,4,0.31,symmetric,0.5782630169665153
100% Corpus,4,0.61,0.01,0.5691332540473016
100% Corpus,4,0.61,0.31,0.5915319491487016
