,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
1011,1011,0.0,0.8798,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (99, 1), (100, 1), (105, 1), (179, 1), (198, 1), (202, 3), (203, 1), (214, 1), (215, 2), (218, 1), (269, 1), (305, 1), (406, 1), (435, 1), (530, 1), (536, 1), (565, 1), (579, 1), (634, 1), (641, 1), (811, 1), (844, 1), (871, 1), (1012, 1), (1022, 1), (1041, 1), (1264, 1), (1497, 1), (1527, 1), (1576, 1), (1713, 1), (2045, 1), (2099, 1), (2168, 1), (2504, 1), (2526, 1), (2567, 1), (2570, 1), (2571, 1), (2572, 1)]"
1012,1012,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
1013,1013,0.0,0.7909,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (33, 1), (78, 1), (111, 1), (179, 2), (211, 1), (213, 1), (215, 1), (218, 1), (324, 1), (409, 1), (435, 1), (467, 1), (555, 1), (597, 1), (808, 1), (844, 1), (1022, 1), (1062, 1), (1321, 1), (1353, 1), (1505, 1), (2045, 1), (2193, 1), (2194, 1), (2573, 1)]"
1014,1014,0.0,0.5485,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(19, 1), (33, 1), (92, 1), (96, 1), (105, 1), (179, 1), (202, 1), (222, 2), (223, 1), (231, 1), (245, 1), (435, 1), (489, 1), (537, 1), (543, 1), (563, 1), (634, 1), (711, 1), (726, 1), (728, 1), (808, 1), (1047, 1), (1145, 1), (1240, 1), (1301, 1), (1449, 1), (1505, 1), (1576, 1), (1583, 1), (1587, 1), (2574, 1)]"
1015,1015,1.0,0.8627,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (844, 1), (1022, 1), (2045, 1)]"
1016,1016,0.0,0.5679,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(2, 1), (33, 1), (87, 1), (113, 1), (213, 1), (218, 1), (229, 1), (251, 1), (536, 1), (634, 1), (635, 1), (786, 1), (1047, 1), (1241, 1), (2202, 1), (2343, 1), (2575, 1), (2576, 1), (2577, 1), (2578, 1)]"
1017,1017,2.0,0.6662,"link, bio, full, rampage, watch, race, team, bike, dtswiss, day","[(2013, 1)]"
1018,1018,1.0,0.8627,"yeticycle, ridedriven, racebre, ride, trail, shock, rideshimano, bike, chriskingbuzz, photo","[(20, 1), (844, 1), (1022, 1), (2045, 1)]"
1019,1019,0.0,0.9199,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team","[(20, 1), (33, 1), (92, 1), (98, 1), (100, 1), (169, 1), (202, 3), (203, 2), (213, 1), (214, 1), (239, 1), (348, 1), (395, 1), (467, 1), (605, 1), (639, 1), (844, 1), (931, 1), (1022, 1), (1115, 1), (1340, 1), (1362, 1), (1986, 1), (1992, 1), (2045, 1), (2150, 1), (2193, 1), (2573, 1), (2579, 1), (2580, 1), (2581, 1)]"
1020,1020,0.0,0.3333,"richie_rude, first, stage, race, morethanmyth, day, second, year, raceface, team",[]
