Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,7,symmetric,0.91,0.457675021,,,,
100% Corpus,7,symmetric,symmetric,0.44220295,,,,
100% Corpus,7,asymmetric,0.01,0.4448595,,,,
100% Corpus,7,asymmetric,0.31,0.48049975,,,,
100% Corpus,7,asymmetric,0.61,0.473328581,,,,
100% Corpus,7,asymmetric,0.91,0.386126454,,,,
100% Corpus,7,asymmetric,symmetric,0.470287922,,,,
100% Corpus,8,0.01,0.01,0.48225508,13.96976279,,,
100% Corpus,8,0.01,0.31,0.465902326,0.46565876,,,
100% Corpus,8,0.01,0.61,0.449432862,,,,
100% Corpus,8,0.01,0.91,0.469714689,,,,
100% Corpus,8,0.01,symmetric,0.500766327,,,,
100% Corpus,8,0.31,0.01,0.491452921,,,,
100% Corpus,8,0.31,0.31,0.495495677,,,,
100% Corpus,8,0.31,0.61,0.492420079,,,,
100% Corpus,8,0.31,0.91,0.469930957,,,,
100% Corpus,8,0.31,symmetric,0.495864035,,,,
100% Corpus,8,0.61,0.01,0.494635028,,,,
100% Corpus,8,0.61,0.31,0.463305544,,,,
100% Corpus,8,0.61,0.61,0.431651045,,,,
100% Corpus,8,0.61,0.91,0.424624667,,,,
100% Corpus,8,0.61,symmetric,0.475488212,,,,
100% Corpus,8,0.91,0.01,0.494099778,,,,
100% Corpus,8,0.91,0.31,0.432935779,,,,
100% Corpus,8,0.91,0.61,0.453581369,,,,
100% Corpus,8,0.91,0.91,0.454037232,,,,
100% Corpus,8,0.91,symmetric,0.464660564,,,,
100% Corpus,8,symmetric,0.01,0.478867631,,,,
100% Corpus,8,symmetric,0.31,0.502068715,,,,
100% Corpus,8,symmetric,0.61,0.46338081,,,,
100% Corpus,8,symmetric,0.91,0.463261954,,,,
100% Corpus,8,symmetric,symmetric,0.500716603,,,,
100% Corpus,8,asymmetric,0.01,0.461365353,,,,
100% Corpus,8,asymmetric,0.31,0.42584735,,,,
100% Corpus,8,asymmetric,0.61,0.431777473,,,,
100% Corpus,8,asymmetric,0.91,0.404075651,,,,
100% Corpus,8,asymmetric,symmetric,0.436147074,,,,
100% Corpus,9,0.01,0.01,0.482748596,13.82667456,,,
100% Corpus,9,0.01,0.31,0.453576858,0.460889152,,,
100% Corpus,9,0.01,0.61,0.466309466,,,,
100% Corpus,9,0.01,0.91,0.460096405,,,,
100% Corpus,9,0.01,symmetric,0.464945716,,,,
100% Corpus,9,0.31,0.01,0.476829125,,,,
100% Corpus,9,0.31,0.31,0.44975655,,,,
100% Corpus,9,0.31,0.61,0.458485515,,,,
100% Corpus,9,0.31,0.91,0.468329575,,,,
100% Corpus,9,0.31,symmetric,0.454200282,,,,
100% Corpus,9,0.61,0.01,0.491683413,,,,
100% Corpus,9,0.61,0.31,0.497128528,,,,
100% Corpus,9,0.61,0.61,0.445495546,,,,
100% Corpus,9,0.61,0.91,0.437751279,,,,
100% Corpus,9,0.61,symmetric,0.477574415,,,,
100% Corpus,9,0.91,0.01,0.492247093,,,,
100% Corpus,9,0.91,0.31,0.455251934,,,,
100% Corpus,9,0.91,0.61,0.454443881,,,,
100% Corpus,9,0.91,0.91,0.473722304,,,,
100% Corpus,9,0.91,symmetric,0.501199986,,,,
100% Corpus,9,symmetric,0.01,0.438074485,,,,
100% Corpus,9,symmetric,0.31,0.445658481,,,,
100% Corpus,9,symmetric,0.61,0.451727276,,,,
100% Corpus,9,symmetric,0.91,0.461041448,,,,
100% Corpus,9,symmetric,symmetric,0.452610434,,,,
100% Corpus,9,asymmetric,0.01,0.47010309,,,,
100% Corpus,9,asymmetric,0.31,0.434965038,,,,
100% Corpus,9,asymmetric,0.61,0.422138794,,,,
100% Corpus,9,asymmetric,0.91,0.431656579,,,,
100% Corpus,9,asymmetric,symmetric,0.456922463,,,,
100% Corpus,10,0.01,0.01,0.480921853,13.64679856,,,
