,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
8424,8424,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8425,8425,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8426,8426,0.0,0.418,"link, full, check, bike, bio, profile, video, race, build, detail","[(17, 1), (46, 1), (52, 1), (73, 1), (626, 1), (1380, 1), (1768, 1), (4147, 1)]"
8427,8427,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8428,8428,0.0,0.7687,"link, full, check, bike, bio, profile, video, race, build, detail","[(88, 1), (91, 1)]"
8429,8429,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8430,8430,2.0,0.7733,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(366, 1), (1015, 1)]"
8431,8431,1.0,0.8576,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(28, 1), (336, 1), (1177, 1), (4947, 1)]"
8432,8432,2.0,0.8331,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(159, 1), (187, 1), (330, 1)]"
8433,8433,2.0,0.6075,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(159, 1), (342, 1), (5072, 1)]"
8434,8434,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8435,8435,0.0,0.7747,"link, full, check, bike, bio, profile, video, race, build, detail","[(615, 1), (1896, 1), (1932, 1), (5073, 1)]"
8436,8436,2.0,0.7746,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(612, 1), (4656, 1)]"
8437,8437,0.0,0.7775,"link, full, check, bike, bio, profile, video, race, build, detail","[(255, 1), (5074, 1)]"
8438,8438,2.0,0.6511,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(589, 1)]"
8439,8439,2.0,0.6642,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(618, 1), (2236, 1), (3299, 1)]"
8440,8440,1.0,0.8644,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(571, 1), (623, 1), (1774, 1), (2387, 1)]"
8441,8441,1.0,0.3808,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(610, 1), (1296, 1), (1759, 1), (2697, 1), (5075, 1)]"
8442,8442,2.0,0.8332,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(494, 1), (1738, 1), (5076, 1)]"
8443,8443,2.0,0.7774,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(620, 1), (1738, 1)]"
8444,8444,2.0,0.6639,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(451, 1)]"
8445,8445,2.0,0.866,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(617, 1), (622, 1), (1738, 1), (5077, 1)]"
8446,8446,0.0,0.6553,"link, full, check, bike, bio, profile, video, race, build, detail","[(516, 1)]"
8447,8447,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8448,8448,2.0,0.5182,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(220, 1), (225, 1), (264, 1), (309, 1), (312, 1), (458, 1), (570, 1), (858, 1), (1587, 1), (1622, 1)]"
8449,8449,2.0,0.8618,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(68, 1), (919, 1), (1228, 1), (5078, 1)]"
8450,8450,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8451,8451,2.0,0.6665,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(2899, 1)]"
8452,8452,1.0,0.6524,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(301, 1)]"
8453,8453,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8454,8454,0.0,0.5883,"link, full, check, bike, bio, profile, video, race, build, detail","[(73, 1), (88, 1), (521, 1), (570, 1), (1312, 1)]"
8455,8455,1.0,0.7565,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(414, 1), (3660, 1)]"
8456,8456,0.0,0.7838,"link, full, check, bike, bio, profile, video, race, build, detail","[(7, 1), (21, 1), (28, 1), (31, 1), (91, 1), (428, 1), (1482, 1), (3201, 1)]"
8457,8457,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8458,8458,2.0,0.6662,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(1521, 1)]"
8459,8459,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8460,8460,2.0,0.6645,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(1380, 1)]"
8461,8461,2.0,0.6663,"svenmartinphoto, scsyndicate, srammtb, rockshox, rear, day, nice, top, season, race","[(128, 1)]"
8462,8462,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8463,8463,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
8464,8464,1.0,0.6645,"new, day, bike, trail, reservewheel, ride, go, world, year, race","[(683, 1)]"
8465,8465,0.0,0.3333,"link, full, check, bike, bio, profile, video, race, build, detail",[]
