Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.9099999999999999,0.5533652156064449
100% Corpus,2,0.01,symmetric,0.49316723988236866
100% Corpus,2,0.31,0.01,0.49049283152465767
100% Corpus,2,0.31,0.31,0.5263429495667628
100% Corpus,2,0.31,0.61,0.5162367027860044
100% Corpus,2,0.31,0.9099999999999999,0.5307316147154095
100% Corpus,2,0.31,symmetric,0.5475981588242504
100% Corpus,2,0.61,0.01,0.5072637138529256
100% Corpus,2,0.61,0.31,0.5086843614785052
100% Corpus,2,0.61,0.61,0.5129855339400512
100% Corpus,2,0.61,0.9099999999999999,0.508220161819338
100% Corpus,2,0.61,symmetric,0.5060371813745997
100% Corpus,2,0.9099999999999999,0.01,0.47049405139415135
100% Corpus,2,0.9099999999999999,0.31,0.521851135403341
100% Corpus,2,0.9099999999999999,0.61,0.49982239468892864
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.5220640890519811
100% Corpus,2,0.9099999999999999,symmetric,0.5508361618828246
100% Corpus,2,symmetric,0.01,0.5070543251746304
100% Corpus,2,symmetric,0.31,0.5412301256667922
100% Corpus,2,symmetric,0.61,0.4985119038587861
100% Corpus,2,symmetric,0.9099999999999999,0.5038434098459824
100% Corpus,2,symmetric,symmetric,0.4997626405480318
100% Corpus,2,asymmetric,0.01,0.5299565283020915
100% Corpus,2,asymmetric,0.31,0.4156212721488974
100% Corpus,2,asymmetric,0.61,0.42377248671527895
100% Corpus,2,asymmetric,0.9099999999999999,0.42390031215462454
100% Corpus,2,asymmetric,symmetric,0.43796331298246505
100% Corpus,3,0.01,0.01,0.5419624609182669
100% Corpus,3,0.01,0.31,0.5745955584784578
100% Corpus,3,0.01,0.61,0.5773722773236598
100% Corpus,3,0.01,0.9099999999999999,0.5629147154129297
100% Corpus,3,0.01,symmetric,0.5891752320838136
100% Corpus,3,0.31,0.01,0.5808656794289824
100% Corpus,3,0.31,0.31,0.5653657835377034
100% Corpus,3,0.31,0.61,0.5573207307630695
100% Corpus,3,0.31,0.9099999999999999,0.562210566419327
100% Corpus,3,0.31,symmetric,0.5711107893135553
100% Corpus,3,0.61,0.01,0.5409362789666539
100% Corpus,3,0.61,0.31,0.5578876618941802
100% Corpus,3,0.61,0.61,0.562963259421268
100% Corpus,3,0.61,0.9099999999999999,0.5715082387650988
100% Corpus,3,0.61,symmetric,0.5666534799107595
100% Corpus,3,0.9099999999999999,0.01,0.5668709568155893
100% Corpus,3,0.9099999999999999,0.31,0.5419850130793448
100% Corpus,3,0.9099999999999999,0.61,0.5484502596988639
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.5339651113697761
100% Corpus,3,0.9099999999999999,symmetric,0.54237015373938
100% Corpus,3,symmetric,0.01,0.5817387018919736
100% Corpus,3,symmetric,0.31,0.5636197291068923
100% Corpus,3,symmetric,0.61,0.5687656341902873
100% Corpus,3,symmetric,0.9099999999999999,0.5654193681104184
100% Corpus,3,symmetric,symmetric,0.5701429953105238
100% Corpus,3,asymmetric,0.01,0.5521152590055884
100% Corpus,3,asymmetric,0.31,0.5938141669143119
100% Corpus,3,asymmetric,0.61,0.3848657557806297
100% Corpus,3,asymmetric,0.9099999999999999,0.41032900474421097
100% Corpus,3,asymmetric,symmetric,0.5771136614720499
100% Corpus,4,0.01,0.01,0.5351154079816688
100% Corpus,4,0.01,0.31,0.5590426881578778
100% Corpus,4,0.01,0.61,0.584171664107747
100% Corpus,4,0.01,0.9099999999999999,0.5557180269255872
100% Corpus,4,0.01,symmetric,0.5804743201396155
100% Corpus,4,0.31,0.01,0.5614249378442863
100% Corpus,4,0.31,0.31,0.5676551287404445
100% Corpus,4,0.31,0.61,0.5731082625211966
100% Corpus,4,0.31,0.9099999999999999,0.5788627532658532
100% Corpus,4,0.31,symmetric,0.5641910549601421
100% Corpus,4,0.61,0.01,0.5597432703093319
100% Corpus,4,0.61,0.31,0.5792774319097356
100% Corpus,4,0.61,0.61,0.578597423653895
100% Corpus,4,0.61,0.9099999999999999,0.5486082974656383
100% Corpus,4,0.61,symmetric,0.5581103063264969
100% Corpus,4,0.9099999999999999,0.01,0.5409425721372874
100% Corpus,4,0.9099999999999999,0.31,0.5754560849645964
100% Corpus,4,0.9099999999999999,0.61,0.567831735701112
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.5705723516970332
100% Corpus,4,0.9099999999999999,symmetric,0.5168439658510562
100% Corpus,4,symmetric,0.01,0.5635885580403444
100% Corpus,4,symmetric,0.31,0.5899766232868352
100% Corpus,4,symmetric,0.61,0.5610852096694299
100% Corpus,4,symmetric,0.9099999999999999,0.5885200041469497
100% Corpus,4,symmetric,symmetric,0.5817591131341708
100% Corpus,4,asymmetric,0.01,0.5170280725342684
100% Corpus,4,asymmetric,0.31,0.5720964852571402
100% Corpus,4,asymmetric,0.61,0.539848185474458
100% Corpus,4,asymmetric,0.9099999999999999,0.3942678606280059
100% Corpus,4,asymmetric,symmetric,0.5532572470735639
100% Corpus,5,0.01,0.01,0.5088738185807742
100% Corpus,5,0.01,0.31,0.5183528443412281
100% Corpus,5,0.01,0.61,0.5305780714387371
100% Corpus,5,0.01,0.9099999999999999,0.5424428773710794
100% Corpus,5,0.01,symmetric,0.5141788312607617
100% Corpus,5,0.31,0.01,0.506443105892229
100% Corpus,5,0.31,0.31,0.5379626349033221
100% Corpus,5,0.31,0.61,0.5414688961029991
100% Corpus,5,0.31,0.9099999999999999,0.5415791728626191
100% Corpus,5,0.31,symmetric,0.5240393558198646
100% Corpus,5,0.61,0.01,0.5295945155172502
100% Corpus,5,0.61,0.31,0.5487057475516937
100% Corpus,5,0.61,0.61,0.538602272850321
100% Corpus,5,0.61,0.9099999999999999,0.5283828627937683
100% Corpus,5,0.61,symmetric,0.5354493133482467
100% Corpus,5,0.9099999999999999,0.01,0.5346235554570513
100% Corpus,5,0.9099999999999999,0.31,0.5475942882831802
100% Corpus,5,0.9099999999999999,0.61,0.5247378148485338
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5349407279455777
100% Corpus,5,0.9099999999999999,symmetric,0.5479783579306076
100% Corpus,5,symmetric,0.01,0.502592839732295
100% Corpus,5,symmetric,0.31,0.5611538840667541
100% Corpus,5,symmetric,0.61,0.5381836744446633
100% Corpus,5,symmetric,0.9099999999999999,0.5132264204812873
100% Corpus,5,symmetric,symmetric,0.5382380253470521
100% Corpus,5,asymmetric,0.01,0.48856680680616016
100% Corpus,5,asymmetric,0.31,0.5282673490502333
100% Corpus,5,asymmetric,0.61,0.549236319618878
100% Corpus,5,asymmetric,0.9099999999999999,0.5186498209664689
100% Corpus,5,asymmetric,symmetric,0.5453215184476725
100% Corpus,6,0.01,0.01,0.5161795983899532
100% Corpus,6,0.01,0.31,0.5218167355914333
100% Corpus,6,0.01,0.61,0.5273826340065979
100% Corpus,6,0.01,0.9099999999999999,0.5394519632178255
100% Corpus,6,0.01,symmetric,0.4965253872987963
100% Corpus,6,0.31,0.01,0.47828537473394633
100% Corpus,6,0.31,0.31,0.5293724987728742
100% Corpus,6,0.31,0.61,0.5313816759396727
100% Corpus,6,0.31,0.9099999999999999,0.5211053330957759
100% Corpus,6,0.31,symmetric,0.527712598877914
100% Corpus,6,0.61,0.01,0.5002552321991296
100% Corpus,6,0.61,0.31,0.5212848149835109
100% Corpus,6,0.61,0.61,0.5152025311856431
100% Corpus,6,0.61,0.9099999999999999,0.5188383393616756
100% Corpus,6,0.61,symmetric,0.5180901381157049
100% Corpus,6,0.9099999999999999,0.01,0.5447001284252043
100% Corpus,6,0.9099999999999999,0.31,0.5369674725165955
100% Corpus,6,0.9099999999999999,0.61,0.5373804076914307
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5338368731594215
100% Corpus,6,0.9099999999999999,symmetric,0.5341356575626585
100% Corpus,6,symmetric,0.01,0.49779041790727624
100% Corpus,6,symmetric,0.31,0.4918762792564751
100% Corpus,6,symmetric,0.61,0.495901267524035
100% Corpus,6,symmetric,0.9099999999999999,0.513831722601592
100% Corpus,6,symmetric,symmetric,0.5008046395267073
100% Corpus,6,asymmetric,0.01,0.481958633108509
100% Corpus,6,asymmetric,0.31,0.49591564706182495
100% Corpus,6,asymmetric,0.61,0.4686412449350252
100% Corpus,6,asymmetric,0.9099999999999999,0.4836337432169593
100% Corpus,6,asymmetric,symmetric,0.5156956872636178
100% Corpus,7,0.01,0.01,0.48058995258537435
100% Corpus,7,0.01,0.31,0.49906300883707294
100% Corpus,7,0.01,0.61,0.49595288524224734
100% Corpus,7,0.01,0.9099999999999999,0.4952119596211477
100% Corpus,7,0.01,symmetric,0.523118339343976
100% Corpus,7,0.31,0.01,0.5014998167162261
100% Corpus,7,0.31,0.31,0.5530353080064188
100% Corpus,7,0.31,0.61,0.5107442139641791
100% Corpus,7,0.31,0.9099999999999999,0.5187937615916761
100% Corpus,7,0.31,symmetric,0.5296536780100508
100% Corpus,7,0.61,0.01,0.4798131802309596
100% Corpus,7,0.61,0.31,0.48661537746625083
100% Corpus,7,0.61,0.61,0.4890158257083635
100% Corpus,7,0.61,0.9099999999999999,0.4807392794847299
100% Corpus,7,0.61,symmetric,0.4823105299419713
100% Corpus,7,0.9099999999999999,0.01,0.49872777265439583
100% Corpus,7,0.9099999999999999,0.31,0.49645575337819803
100% Corpus,7,0.9099999999999999,0.61,0.49456327548602236
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5033437261327591
100% Corpus,7,0.9099999999999999,symmetric,0.4935152248832689
100% Corpus,7,symmetric,0.01,0.4858787452046866
100% Corpus,7,symmetric,0.31,0.5109246239106808
100% Corpus,7,symmetric,0.61,0.5072889087746669
100% Corpus,7,symmetric,0.9099999999999999,0.47769276165896823
100% Corpus,7,symmetric,symmetric,0.5070314379795305
100% Corpus,7,asymmetric,0.01,0.4928102127553476
100% Corpus,7,asymmetric,0.31,0.4830047645552753
100% Corpus,7,asymmetric,0.61,0.4814173740342284
100% Corpus,7,asymmetric,0.9099999999999999,0.5105528400148225
100% Corpus,7,asymmetric,symmetric,0.5031249855142479
100% Corpus,8,0.01,0.01,0.48120325597453406
100% Corpus,8,0.01,0.31,0.5161253066390262
100% Corpus,8,0.01,0.61,0.5045110273093327
100% Corpus,8,0.01,0.9099999999999999,0.4747856167412746
100% Corpus,8,0.01,symmetric,0.5262415951839075
100% Corpus,8,0.31,0.01,0.5176791027544688
100% Corpus,8,0.31,0.31,0.5396149090725724
100% Corpus,8,0.31,0.61,0.5169839001374897
100% Corpus,8,0.31,0.9099999999999999,0.5147055246115975
100% Corpus,8,0.31,symmetric,0.5180772421549155
100% Corpus,8,0.61,0.01,0.4759970487937144
100% Corpus,8,0.61,0.31,0.483803285305284
100% Corpus,8,0.61,0.61,0.4656353219228292
100% Corpus,8,0.61,0.9099999999999999,0.4660875356164448
100% Corpus,8,0.61,symmetric,0.4781495504800092
100% Corpus,8,0.9099999999999999,0.01,0.46954234055188077
100% Corpus,8,0.9099999999999999,0.31,0.46561724568596546
100% Corpus,8,0.9099999999999999,0.61,0.46239626571510245
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4369528810408676
100% Corpus,8,0.9099999999999999,symmetric,0.4743680076963347
100% Corpus,8,symmetric,0.01,0.5039820906232746
100% Corpus,8,symmetric,0.31,0.5243059054944363
100% Corpus,8,symmetric,0.61,0.47037749614467395
100% Corpus,8,symmetric,0.9099999999999999,0.5000825994418336
100% Corpus,8,symmetric,symmetric,0.5053200753547483
100% Corpus,8,asymmetric,0.01,0.47129874185478976
100% Corpus,8,asymmetric,0.31,0.48024683926830464
100% Corpus,8,asymmetric,0.61,0.47466421648152235
100% Corpus,8,asymmetric,0.9099999999999999,0.4459620429542436
100% Corpus,8,asymmetric,symmetric,0.49193521994000455
100% Corpus,9,0.01,0.01,0.4975400281064544
100% Corpus,9,0.01,0.31,0.4926858447074619
100% Corpus,9,0.01,0.61,0.5145151401061686
100% Corpus,9,0.01,0.9099999999999999,0.4999990559622207
100% Corpus,9,0.01,symmetric,0.4811003138099312
100% Corpus,9,0.31,0.01,0.5223600160624808
100% Corpus,9,0.31,0.31,0.5212195493069274
100% Corpus,9,0.31,0.61,0.5077145089688583
100% Corpus,9,0.31,0.9099999999999999,0.5006125141980418
100% Corpus,9,0.31,symmetric,0.5150714154062052
