Validation_Set,Topics,Alpha,Beta,Coherence,,,,
100% Corpus,7,0.61,0.01,0.47981318,,,,
100% Corpus,7,0.61,0.31,0.486615377,,,,
100% Corpus,7,0.61,0.61,0.489015826,,,,
100% Corpus,7,0.61,0.91,0.480739279,,,,
100% Corpus,7,0.61,symmetric,0.48231053,,,,
100% Corpus,7,0.91,0.01,0.498727773,,,,
100% Corpus,7,0.91,0.31,0.496455753,,,,
100% Corpus,7,0.91,0.61,0.494563275,,,,
100% Corpus,7,0.91,0.91,0.503343726,,,,
100% Corpus,7,0.91,symmetric,0.493515225,,,,
100% Corpus,7,symmetric,0.01,0.485878745,,,,
100% Corpus,7,symmetric,0.31,0.510924624,,,,
100% Corpus,7,symmetric,0.61,0.507288909,,,,
100% Corpus,7,symmetric,0.91,0.477692762,,,,
100% Corpus,7,symmetric,symmetric,0.507031438,,,,
100% Corpus,7,asymmetric,0.01,0.492810213,,,,
100% Corpus,7,asymmetric,0.31,0.483004765,,,,
100% Corpus,7,asymmetric,0.61,0.481417374,,,,
100% Corpus,7,asymmetric,0.91,0.51055284,,,,
100% Corpus,7,asymmetric,symmetric,0.503124986,,,,
100% Corpus,8,0.01,0.01,0.481203256,14.65665219,,,
100% Corpus,8,0.01,0.31,0.516125307,0.488555073,,,
100% Corpus,8,0.01,0.61,0.504511027,,,,
100% Corpus,8,0.01,0.91,0.474785617,,,,
100% Corpus,8,0.01,symmetric,0.526241595,,,,
100% Corpus,8,0.31,0.01,0.517679103,,,,
100% Corpus,8,0.31,0.31,0.539614909,,,,
100% Corpus,8,0.31,0.61,0.5169839,,,,
100% Corpus,8,0.31,0.91,0.514705525,,,,
100% Corpus,8,0.31,symmetric,0.518077242,,,,
100% Corpus,8,0.61,0.01,0.475997049,,,,
100% Corpus,8,0.61,0.31,0.483803285,,,,
100% Corpus,8,0.61,0.61,0.465635322,,,,
100% Corpus,8,0.61,0.91,0.466087536,,,,
100% Corpus,8,0.61,symmetric,0.47814955,,,,
100% Corpus,8,0.91,0.01,0.469542341,,,,
100% Corpus,8,0.91,0.31,0.465617246,,,,
100% Corpus,8,0.91,0.61,0.462396266,,,,
100% Corpus,8,0.91,0.91,0.436952881,,,,
100% Corpus,8,0.91,symmetric,0.474368008,,,,
100% Corpus,8,symmetric,0.01,0.503982091,,,,
100% Corpus,8,symmetric,0.31,0.524305905,,,,
100% Corpus,8,symmetric,0.61,0.470377496,,,,
100% Corpus,8,symmetric,0.91,0.500082599,,,,
100% Corpus,8,symmetric,symmetric,0.505320075,,,,
100% Corpus,8,asymmetric,0.01,0.471298742,,,,
100% Corpus,8,asymmetric,0.31,0.480246839,,,,
100% Corpus,8,asymmetric,0.61,0.474664216,,,,
100% Corpus,8,asymmetric,0.91,0.445962043,,,,
100% Corpus,8,asymmetric,symmetric,0.49193522,,,,
100% Corpus,9,0.01,0.01,0.497540028,14.68691251,,,
100% Corpus,9,0.01,0.31,0.492685845,0.48956375,,,
100% Corpus,9,0.01,0.61,0.51451514,,,,
100% Corpus,9,0.01,0.91,0.499999056,,,,
100% Corpus,9,0.01,symmetric,0.481100314,,,,
100% Corpus,9,0.31,0.01,0.522360016,,,,
100% Corpus,9,0.31,0.31,0.521219549,,,,
100% Corpus,9,0.31,0.61,0.507714509,,,,
100% Corpus,9,0.31,0.91,0.500612514,,,,
100% Corpus,9,0.31,symmetric,0.515071415,,,,
100% Corpus,9,0.61,0.01,0.477781753,,,,
100% Corpus,9,0.61,0.31,0.48305945,,,,
100% Corpus,9,0.61,0.61,0.483156267,,,,
100% Corpus,9,0.61,0.91,0.46083994,,,,
100% Corpus,9,0.61,symmetric,0.4819425,,,,
100% Corpus,9,0.91,0.01,0.483170568,,,,
100% Corpus,9,0.91,0.31,0.485353499,,,,
100% Corpus,9,0.91,0.61,0.486288993,,,,
100% Corpus,9,0.91,0.91,0.500136507,,,,
100% Corpus,9,0.91,symmetric,0.485020591,,,,
100% Corpus,9,symmetric,0.01,0.497792478,,,,
100% Corpus,9,symmetric,0.31,0.482302864,,,,
100% Corpus,9,symmetric,0.61,0.494729164,,,,
100% Corpus,9,symmetric,0.91,0.513778168,,,,
100% Corpus,9,symmetric,symmetric,0.468804974,,,,
100% Corpus,9,asymmetric,0.01,0.468752171,,,,
100% Corpus,9,asymmetric,0.31,0.485853188,,,,
100% Corpus,9,asymmetric,0.61,0.443969165,,,,
100% Corpus,9,asymmetric,0.91,0.467723735,,,,
100% Corpus,9,asymmetric,symmetric,0.483638148,,,,
100% Corpus,10,0.01,0.01,0.4731505,14.50853438,,,
100% Corpus,10,0.01,0.31,0.483196228,0.483617813,,,
100% Corpus,10,0.01,0.61,0.498031766,,,,
100% Corpus,10,0.01,0.91,0.481204229,,,,
100% Corpus,10,0.01,symmetric,0.495342654,,,,
100% Corpus,10,0.31,0.01,0.514159566,,,,
100% Corpus,10,0.31,0.31,0.502569311,,,,
100% Corpus,10,0.31,0.61,0.497086873,,,,
100% Corpus,10,0.31,0.91,0.49638349,,,,
100% Corpus,10,0.31,symmetric,0.530806344,,,,
100% Corpus,10,0.61,0.01,0.48243884,,,,
100% Corpus,10,0.61,0.31,0.480172556,,,,
100% Corpus,10,0.61,0.61,0.462792173,,,,
100% Corpus,10,0.61,0.91,0.46025559,,,,
100% Corpus,10,0.61,symmetric,0.453394713,,,,
100% Corpus,10,0.91,0.01,0.498099832,,,,
100% Corpus,10,0.91,0.31,0.487259654,,,,
100% Corpus,10,0.91,0.61,0.494220858,,,,
100% Corpus,10,0.91,0.91,0.515787986,,,,
100% Corpus,10,0.91,symmetric,0.492331905,,,,
100% Corpus,10,symmetric,0.01,0.510585539,,,,
100% Corpus,10,symmetric,0.31,0.493767975,,,,
100% Corpus,10,symmetric,0.61,0.460822662,,,,
100% Corpus,10,symmetric,0.91,0.501569003,,,,
100% Corpus,10,symmetric,symmetric,0.480696425,,,,
100% Corpus,10,asymmetric,0.01,0.447430198,,,,
100% Corpus,10,asymmetric,0.31,0.45715769,,,,
100% Corpus,10,asymmetric,0.61,0.447104794,,,,
100% Corpus,10,asymmetric,0.91,0.445919031,,,,
100% Corpus,10,asymmetric,symmetric,0.464795992,,,,
