Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.9099999999999999,0.61,0.5342687941414904
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.550329014254442
75% Corpus,8,0.9099999999999999,symmetric,0.5428629901048891
75% Corpus,8,symmetric,0.01,0.5400234356883271
75% Corpus,8,symmetric,0.31,0.5747680586337295
75% Corpus,8,symmetric,0.61,0.5944098012085439
75% Corpus,8,symmetric,0.9099999999999999,0.5808521132866262
75% Corpus,8,symmetric,symmetric,0.5500873762823129
75% Corpus,8,asymmetric,0.01,0.513749398574602
75% Corpus,8,asymmetric,0.31,0.5157921648778907
75% Corpus,8,asymmetric,0.61,0.5787597374593352
75% Corpus,8,asymmetric,0.9099999999999999,0.6032431008968496
75% Corpus,8,asymmetric,symmetric,0.532160133427197
75% Corpus,9,0.01,0.01,0.5150237527904987
75% Corpus,9,0.01,0.31,0.5361692570446487
75% Corpus,9,0.01,0.61,0.5480423586358594
75% Corpus,9,0.01,0.9099999999999999,0.5935789602662143
75% Corpus,9,0.01,symmetric,0.5509531606490028
75% Corpus,9,0.31,0.01,0.48157943941615655
75% Corpus,9,0.31,0.31,0.5358310544182573
75% Corpus,9,0.31,0.61,0.5569897514080653
75% Corpus,9,0.31,0.9099999999999999,0.5568893267485482
75% Corpus,9,0.31,symmetric,0.5144423322746954
75% Corpus,9,0.61,0.01,0.516267013077148
75% Corpus,9,0.61,0.31,0.5136322987065886
75% Corpus,9,0.61,0.61,0.4963566160190606
75% Corpus,9,0.61,0.9099999999999999,0.5484322875771838
75% Corpus,9,0.61,symmetric,0.5153290432046338
75% Corpus,9,0.9099999999999999,0.01,0.5181886543261278
75% Corpus,9,0.9099999999999999,0.31,0.5401552785761653
75% Corpus,9,0.9099999999999999,0.61,0.5390315980904791
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5081973402960629
75% Corpus,9,0.9099999999999999,symmetric,0.5495789663063144
75% Corpus,9,symmetric,0.01,0.5351774885054593
