Validation_Set,Topics,Alpha,Beta,Coherence,,,Topics,75% Corpus,,Topics,100% Corpus
75% Corpus,10,0.61,0.91,0.590214344,,,,,,,
75% Corpus,10,0.61,symmetric,0.502277914,,,,,,,
75% Corpus,10,0.91,0.01,0.516361112,,,,,,,
75% Corpus,10,0.91,0.31,0.527739667,,,,,,,
75% Corpus,10,0.91,0.61,0.532582538,,,,,,,
75% Corpus,10,0.91,0.91,0.521496935,,,,,,,
75% Corpus,10,0.91,symmetric,0.545220025,,,,,,,
75% Corpus,10,symmetric,0.01,0.525201245,,,,,,,
75% Corpus,10,symmetric,0.31,0.559729951,,,,,,,
75% Corpus,10,symmetric,0.61,0.586998692,,,,,,,
75% Corpus,10,symmetric,0.91,0.593774254,,,,,,,
75% Corpus,10,symmetric,symmetric,0.542865071,,,,,,,
75% Corpus,10,asymmetric,0.01,0.520373291,,,,,,,
75% Corpus,10,asymmetric,0.31,0.587328634,,,,,,,
75% Corpus,10,asymmetric,0.61,0.581632561,,,,,,,
75% Corpus,10,asymmetric,0.91,0.607373999,,,,,,,
75% Corpus,10,asymmetric,symmetric,0.522955299,,,,,,,
100% Corpus,2,0.01,0.01,0.621372882,18.26398674,,,,,,
100% Corpus,2,0.01,0.31,0.583694034,0.608799558,,,,,,
100% Corpus,2,0.01,0.61,0.652337928,,,,,,,
100% Corpus,2,0.01,0.91,0.603193439,,,,,,,
100% Corpus,2,0.01,symmetric,0.679187289,,,,,,,
100% Corpus,2,0.31,0.01,0.629898527,,,,,,,
100% Corpus,2,0.31,0.31,0.645141943,,,,,,,
100% Corpus,2,0.31,0.61,0.611703945,,,,,,,
100% Corpus,2,0.31,0.91,0.590096605,,,,,,,
100% Corpus,2,0.31,symmetric,0.576243906,,,,,,,
100% Corpus,2,0.61,0.01,0.588787981,,,,,,,
100% Corpus,2,0.61,0.31,0.568299429,,,,,,,
100% Corpus,2,0.61,0.61,0.562947105,,,,,,,
100% Corpus,2,0.61,0.91,0.603964466,,,,,,,
100% Corpus,2,0.61,symmetric,0.570618916,,,,,,,
100% Corpus,2,0.91,0.01,0.597613367,,,,,,,
100% Corpus,2,0.91,0.31,0.572860637,,,,,,,
100% Corpus,2,0.91,0.61,0.565512594,,,,,,,
100% Corpus,2,0.91,0.91,0.589264314,,,,,,,
100% Corpus,2,0.91,symmetric,0.650778022,,,,,,,
100% Corpus,2,symmetric,0.01,0.609998474,,,,,,,
100% Corpus,2,symmetric,0.31,0.604699469,,,,,,,
100% Corpus,2,symmetric,0.61,0.573609706,,,,,,,
100% Corpus,2,symmetric,0.91,0.624950759,,,,,,,
100% Corpus,2,symmetric,symmetric,0.568299429,,,,,,,
100% Corpus,2,asymmetric,0.01,0.626062881,,,,,,,
100% Corpus,2,asymmetric,0.31,0.662503876,,,,,,,
100% Corpus,2,asymmetric,0.61,0.659155536,,,,,,,
100% Corpus,2,asymmetric,0.91,0.633277984,,,,,,,
100% Corpus,2,asymmetric,symmetric,0.637911301,,,,,,,
100% Corpus,3,0.01,0.01,0.651285781,18.57401845,,,,,,
100% Corpus,3,0.01,0.31,0.618236911,0.619133948,,,,,,
100% Corpus,3,0.01,0.61,0.647294105,,,,,,,
100% Corpus,3,0.01,0.91,0.655506469,Highest Coherence for K = 3,,,,,,
100% Corpus,3,0.01,symmetric,0.591815773,0.67190936,,,,,,
100% Corpus,3,0.31,0.01,0.611750855,Alpha = asymmetric,,,,,,
100% Corpus,3,0.31,0.31,0.581659924,Beta = 0.01,,,,,,
100% Corpus,3,0.31,0.61,0.583780533,,,,,,,
100% Corpus,3,0.31,0.91,0.635405923,,,,,,,
100% Corpus,3,0.31,symmetric,0.609386837,,,,,,,
