,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
55,55,3.0,0.9562,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'julianabicycles', 'repostapp', 'couple', 'thousand', 'km', 'go', 'check', 'bio', 'see', 'help', 'ridehousemartin', 'touraotearoa', 'support', 'worldbicyclerelief', 'svenmartinphoto', 'gojuliana']"
56,56,3.0,0.9216,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'santacruzbicycles', 'repostapp', 'stevepeat', 'lofoten', 'norway', 'lightbro', 'photo', 'garyperkin']"
57,57,3.0,0.9641,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'julianabicycles', 'repostapp', 'juli', 'furtado', 'led', 'way', 'women', 'mountain', 'biking', 'original', 'juliana', 'model', 'celebrate', 'woman', 'inspires', 'happy', 'international', 'women', 'gojuliana', 'onedayiwill']"
58,58,3.0,0.9396,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['regular', 'bespoke', 'wheels', 'bouwmeester', 'tammar', 'x', 'maxxis', 'wheelbuilding', 'handbuildwheels', 'reevolutionsg', 'repost', 'repostapp']"
59,59,1.0,0.9561,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['repost', 'santacruzbicycles', 'repostapp', 'en', 'route', 'win', 'elite', 'junior', 'class', 'final', 'round', 'dh', 'series', 'weekend', 'nice', 'job', 'sean']"
60,60,1.0,0.9393,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['midweek', 'midweektreat', 'santacruzbicycles', 'santacruzbicyclessg', 'santacruzhightower', 'comegetit', 'mtb', 'santacruzbicycles', 'reevolutionsg', 'harolddddddd', 'namelesse', 'sallypeh']"
61,61,1.0,0.9432,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['hightower', 'complete', 'bike', 'ready', 'trail', 'weekendride', 'santacruzhightower', 'santacruzbicyclessg', 'reevolutionsg', 'santacruzbicycles', 'mtb', 'harolddddddd', 'wandemarco']"
62,62,3.0,0.954,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'santacruzbicycles', 'repostapp', 'factory', 'employee', 'navigates', 'tennessee', 'mud', 'place', 'downhill', 'southeast', 'series', 'race', 'windrock', 'bike', 'park']"
63,63,3.0,0.9441,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'stevepeat', 'repostapp', 'big', 'bushy', 'jschatterton', 'leading', 'train', 'today', 'thanks', 'revolutionbp', 'loosedoglewis', 'ratcase']"
64,64,3.0,0.9724,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'cedricgracia', 'repostapp', 'saturday', 'banger', 'santacruzbicycles', 'probikeshop', 'kennyequipement', 'dvosuspension', 'ixssports', 'vallnord', 'productionprivee', 'rotorbike', 'maviccycling', 'allmountainstyle', 'fizikofficial', 'crankbrothers', 'lezyneusa', 'oakleybike', 'crosscallmobile', 'crosscall', 'mavic', 'magurapassionpeople', 'santacruzbikes', 'uswehydration', 'douchebags', 'mydouchebag']"
65,65,2.0,0.9565,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['repost', 'santacruzbicycles', 'repostapp', 'nice', 'long', 'term', 'bronsoncc', 'review', 'nsmbteam', 'really', 'great', 'photos', 'dasmith', 'checkout', 'review', 'excellent', 'photos']"
66,66,1.0,0.9644,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['repost', 'julianabicycles', 'repostapp', 'rounds', 'south', 'america', 'next', 'week', 'likely', 'wild', 'cruising', 'roberts', 'creek', 'bc', 'today', 'bring', 'race', 'season', 'joshkissner', 'gojuliana', 'explorebc']"
67,67,0.0,0.9525,"repostapp, reevolutionsg, repost, mtblife, santacruzbicycles, back, weekend, santacruzbicyclessg, bike, us","['repost', 'repostapp', 'top', 'revolutionbp', 'yesterday', 'big', 'thanks', 'crew', 'check', 'bio', 'hyped', 'ride', 'awesome', 'place', 'run', 'awesome']"
68,68,1.0,0.9029,"repost, repostapp, santacruzbicycles, reevolutionsg, santacruzbicyclessg, weekend, bike, mtblife, gojuliana, back","['santacruzbicyclessg', 'whereweare', 'mtb', 'yeah', 'harolddddddd', 'namelesse', 'sallypeh']"
69,69,3.0,0.9537,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, bike, gojuliana, julianabicycles, back","['repost', 'julianabicycles', 'repostapp', 'somewhere', 'clouds', 'lies', 'stages', 'round', 'corral', 'chile', 'leishner', 'bike', 'looks', 'ready', 'gojuliana', 'ewscorral']"
70,70,2.0,0.9674,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['repost', 'santacruzbicycles', 'repostapp', 'stevepeat', 'scottchapinator', 'heading', 'stigmata', 'roadventure', 'enter', 'win', 'decked', 'stigmata', 'along', 'hand', 'picked', 'selection', 'top', 'end', 'accessories', 'friends', 'kitsbow', 'details', 'profile']"
71,71,2.0,0.8888,"repost, repostapp, santacruzbicycles, reevolutionsg, mtblife, santacruzbicyclessg, back, julianabicycles, happy, race","['available', 'store', 'reevolutionsg', 'trsenduro', 'trstire', 'moregrippinforrippin']"
